4.9803,4.7918,4.6552,4.5444,4.3743,4.267,4.176,4.0199,3.7213,3.4939,3.4507,3.3578,3.324,3.3295,3.2732,3.1686,3.3199,3.2429,3.1563,2.3099
4.3512,4.2488,4.019,4.0666,3.7548,3.5806,3.5267,3.4477,3.382,3.1665,3.3104,3.1976,3.1673,3.0771,2.9516,3.144,2.1585,1.9099,1.9685,2.4317
4.1229,3.7227,3.5413,3.5199,3.4699,3.3825,3.3637,3.2891,3.2828,3.2173,3.1428,3.1033,3.3138,3.0778,2.0042,2.089,2.0732,2.1276,2.0185,2.0853
3.4621,3.3746,3.4016,3.3068,3.2497,3.2886,3.084,3.2577,3.3174,3.2651,3.2059,3.1317,2.1157,2.0185,2.0332,1.9437,1.9311,2.0751,1.365,0.9005
3.2628,3.2364,3.2507,3.1755,3.2334,3.2978,3.2611,3.1722,1.9747,2.0469,2.2069,2.3891,1.9499,1.976,1.6735,0.7183,0.2783,0.0984,0.0984,0.098
3.2399,3.2338,3.1769,3.3119,3.2823,2.6677,2.0152,2.3815,2.501,2.4851,2.4935,2.3869,1.0236,0.0949,0.0944,0.0938,0.0869,0.0446,0.0351,0.0347
3.2411,3.2093,2.0122,2.0357,2.1072,2.4191,2.4347,2.4946,2.4642,2.3032,1.0294,0.0996,0.0958,0.0825,0.0385,0.0394,0.0275,0.0301,0.0305,0.0323
1.9401,2.1566,2.2097,2.3535,2.4248,2.3985,2.2141,1.2868,0.2686,0.0988,0.099,0.049,0.0366,0.0325,0.0455,0.0314,0.0279,0.0285,0.0273,0.028
1.9093,2.4061,2.4541,2.2243,1.2805,0.7018,0.0847,0.069,0.0624,0.048,0.0453,0.0374,0.0343,0.0397,0.0402,0.0379,0.0336,0.0339,0.0327,0.032
1.6453,1.3018,0.8205,0.1028,0.0688,0.0685,0.0527,0.0492,0.0471,0.0448,0.0401,0.0335,0.0332,0.0342,0.0393,0.0405,0.0402,0.0399,0.0392,0.0359
0.2728,0.068,0.0678,0.0596,0.0603,0.051,0.0491,0.0464,0.044,0.0418,0.0362,0.0329,0.0318,0.0331,0.0334,0.0389,0.039,0.0398,0.0397,0.04
0.0678,0.0593,0.0601,0.0521,0.0487,0.0485,0.0461,0.0435,0.0419,0.0421,0.0381,0.0308,0.0316,0.0323,0.033,0.0376,0.039,0.041,0.0402,0.0375
0.0602,0.0532,0.0479,0.0493,0.0474,0.0452,0.0441,0.0413,0.0418,0.0407,0.0393,0.0415,0.0325,0.0345,0.0328,0.0357,0.0348,0.0353,0.0329,0.0339
0.0545,0.0498,0.049,0.0467,0.0447,0.0441,0.0419,0.041,0.0416,0.0434,0.0425,0.044,0.0383,0.033,0.0374,0.0373,0.0384,0.0376,0.0367,0.036
0.0501,0.0468,0.0461,0.0454,0.044,0.0422,0.0413,0.0402,0.0414,0.0427,0.0422,0.0435,0.0445,0.0445,0.0446,0.0422,0.0395,0.0406,0.0398,0.0395
0.0473,0.0461,0.0456,0.0477,0.0441,0.0422,0.0411,0.0428,0.0419,0.0412,0.044,0.042,0.0421,0.0411,0.0448,0.0429,0.0447,0.0445,0.0448,0.043
0.0463,0.0459,0.0482,0.0486,0.0455,0.0428,0.041,0.0415,0.0398,0.0414,0.0412,0.0431,0.0443,0.0442,0.0433,0.0385,0.0412,0.0378,0.0422,0.0412
0.045,0.0443,0.047,0.0494,0.042,0.0424,0.0426,0.0408,0.0406,0.0425,0.042,0.0431,0.039,0.0389,0.0395,0.0385,0.0428,0.0399,0.041,0.0471
0.0453,0.0462,0.0479,0.0507,0.0516,0.0423,0.0427,0.041,0.041,0.0407,0.0408,0.0406,0.0401,0.041,0.0399,0.0406,0.0412,0.0395,0.0398,0.0502
0.0449,0.0468,0.0488,0.0499,0.0504,0.042,0.0424,0.0424,0.0426,0.0427,0.0398,0.0418,0.0401,0.0404,0.04,0.0393,0.0418,0.0401,0.0405,0.0415
